    celladapter002_2  |                root  |              Cell adapter 002  |                                  -46*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 777777   |            Polycone  |0*deg 360*deg 14*counts 4.8625*mm 4.8625*mm 4.8625*mm 4.8625*mm 4.1275*mm 4.1257*mm 4.1275*mm 4.1275*mm 4.1275*mm 4.1275*mm 3.9687*mm 3.9687*mm 3.9687*mm 3.9687*mm 5.7785*mm 5.7785*mm 8.249*mm 8.249*mm 8.249*mm 8.249*mm 8.2022*mm 8.2022*mm 10.9855*mm 10.9855*mm 10.9855*mm 10.9855*mm 5*mm 5*mm 2217.32*mm 2232.29*mm 2232.29*mm 2235.7*mm 2235.7*mm 2238.64*mm 2238.64*mm 2239.69*mm 2239.69*mm 2243.78*mm 2243.78*mm 2250.74*mm 2250.74*mm 2259.19*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
distributiontube003_0  |                root  |         Distribution tube 003  |                                    0*mm 0*mm 0*mm  |                0.62*deg -0.36*deg 0*deg  | aaaaaa   |            Polycone  |0*deg 360*deg 2*counts 4.049*mm 4.049*mm 4.762*mm 4.762*mm 1390*mm 1547*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
distributiontube003_1  |                root  |         Distribution tube 003  |                                    0*mm 0*mm 0*mm  |                0.62*deg -0.36*deg 0*deg  | aaaaaa   |            Polycone  |0*deg 360*deg 2*counts 4.049*mm 4.049*mm 4.762*mm 4.762*mm 1560.5*mm 2115.9*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
distributiontube003_2  |                root  |         Distribution tube 003  |                            -355*mm -588*mm 129*mm  |                    17*deg -10*deg 0*deg  | aaaaaa   |            Polycone  |0*deg 360*deg 2*counts 4.049*mm 4.049*mm 4.762*mm 4.762*mm 2123.81*mm 2169.74*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
distributiontube003_3  |                root  |         Distribution Tube 003  |                                  23*mm 40*mm 0*mm  |                       0*deg 0*deg 0*deg  | aaaaaa   |            Polycone  |0*deg 360*deg 2*counts 4.049*mm 4.049*mm 4.762*mm 4.762*mm 2177.95*mm 2214.32*mm  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    celladapter003_1  |                root  |              Cell adapter 003  |                                  23*mm 40*mm 0*mm  |                       0*deg 0*deg 0*deg  | 777777   |            Polycone  |0*deg 360*deg 2*counts 4.8625*mm 4.8625*mm 5.7785*mm 5.7785*mm 2190.76*mm 2214.32*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
    celladapter003_2  |                root  |              Cell adapter 003  |                                  23*mm 40*mm 0*mm  |                       0*deg 0*deg 0*deg  | 777777   |            Polycone  |0*deg 360*deg 14*counts 4.8625*mm 4.8625*mm 4.8625*mm 4.8625*mm 4.1275*mm 4.1257*mm 4.1275*mm 4.1275*mm 4.1275*mm 4.1275*mm 3.9687*mm 3.9687*mm 3.9687*mm 3.9687*mm 5.7785*mm 5.7785*mm 8.249*mm 8.249*mm 8.249*mm 8.249*mm 8.2022*mm 8.2022*mm 10.9855*mm 10.9855*mm 10.9855*mm 10.9855*mm 5*mm 5*mm 2217.32*mm 2232.29*mm 2232.29*mm 2235.7*mm 2235.7*mm 2238.64*mm 2238.64*mm 2239.69*mm 2239.69*mm 2243.78*mm 2243.78*mm 2250.74*mm 2250.74*mm 2259.19*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       extensiontube  |                root  |                Extension Tube  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 777777   |            Polycone  |0*deg 360*deg 2*counts 49.2*mm 49.2*mm 50.8*mm 50.8*mm 1409.33*mm 2058.92*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
forwardretainingring  |                root  |          forwardretainingring  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | eecc55   |            Polycone  |0*deg 360*deg 2*counts 6.27451*mm 7.91238*mm 12*mm 12*mm 1391.23*mm 1395.73*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
         fibercollar  |                root  |                   fibercollar  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | eecc55   |            Polycone  |0*deg 360*deg 2*counts 6.00001*mm 6.00001*mm 12*mm 12*mm 1395.73*mm 1400.73*mm  |                 G10  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              flange  |                root  |                        Flange  |                              0*mm 0*mm 2250.11*mm  |                       0*deg 0*deg 0*deg  | aaaaaa   |                Tube  |                       85.03*mm 87.37*mm 26*mm 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
        flangespacer  |                root  |                 Flange Spacer  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  | 777777   |            Polycone  |0*deg 360*deg 6*counts 118.5*mm 118.5*mm 118.5*mm 118.5*mm 123.5*mm 123.5*mm 123.5*mm 123.5*mm 152.5*mm 152.5*mm 152.5*mm 152.5*mm 2609.08*mm 2609.08*mm 2609.08*mm 2644.61*mm 2644.61*mm 2648.71*mm  |  G4_STAINLESS-STEEL  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
