det1_rich_dual_ionside_mirror_2  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_2  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  |  8*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_3  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_3  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 20*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_4  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_4  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 32*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_5  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_5  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 44*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_6  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_6  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 56*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_7  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_7  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 68*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_8  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 80*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_9  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_9  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  | 92*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_10  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_10  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  |104*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_rich_dual_ionside_mirror_11  |det1_rich_dual_ionside_box  |det1_rich_dual_ionside_mirror_11  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | fff5ea   |            Polycone  |116*deg 8*deg 2*counts 30*cm 200*cm 32*cm 202*cm 60*cm 80*cm  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
