           rg2_s1_c1  |  region_recoil_2_s1  |  Region 2,Sector 1, Chamber 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | 4f84f7   |                 Box  |                       16.3266296*cm 13.0400375*cm 0.6376*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
rg2_s1_c1_window_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, window kapton  |                             0*cm 0*cm -0.53635*cm  |                                   0 0 0  | bf0000   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00125*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 rg2_s1_c1_window_Al  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, window Al  |                             0*cm 0*cm -0.53485*cm  |                                   0 0 0  | 2a3158   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                  Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_window_gas  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, window gas  |                              0*cm 0*cm -0.3846*cm  |                                   0 0 0  | afb0ba   |                 Box  |                         16.2266296*cm 12.9400375*cm 0.15*cm  |                 gas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_cathode_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, cathode kapton  |                             0*cm 0*cm -0.23335*cm  |                                   0 0 0  | bf0000   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00125*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_cathode_Al  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, cathode Al  |                             0*cm 0*cm -0.23185*cm  |                                   0 0 0  | 2a3158   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                  Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_cathode_gas  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, cathode gas  |                              0*cm 0*cm -0.0316*cm  |                                   0 0 0  | afb0ba   |                 Box  |                          16.2266296*cm 12.9400375*cm 0.2*cm  |                 gas  |                  no  |     1   |     1   |     1   |   1   |   1   |              recoil  |              recoil  |region manual 2 sector manual 1 chamber manual 1 layer manual 1 component manual 1 
rg2_s1_c1_muRwell_Cu  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, muRwell Cu  |                              0*cm 0*cm 0.16865*cm  |                                   0 0 0  | fd7f00   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                  Cu  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_muRwell_kapton  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, muRwell kapton  |                               0*cm 0*cm 0.1714*cm  |                                   0 0 0  | bf0000   |                 Box  |                       16.2266296*cm 12.9400375*cm 0.0025*cm  |              kapton  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
rg2_s1_c1_muRwell_dlc  |           rg2_s1_c1  |Region 2,Sector 1, Chamber 1, muRwell dlc  |                              0*cm 0*cm 0.17415*cm  |                                   0 0 0  | 14b6ce   |                 Box  |                      16.2266296*cm 12.9400375*cm 0.00025*cm  |                 dlc  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
