sector2_superlayer1_layer1_paddle7 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      64.604081*mm      42.080335*mm      67.123547*mm      43.716493*mm      62.319172*mm      50.329147*mm      59.984536*mm      48.438594*mm      64.604081*mm      42.080335*mm      67.123547*mm      43.716493*mm      62.319172*mm      50.329147*mm      59.984536*mm      48.438594*mm  | 2 1 1 7
sector2_superlayer1_layer1_paddle8 | root|   0.0000*mm   0.0000*mm   0.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 139.8500*mm      59.851581*mm      48.602780*mm      62.186219*mm      50.493331*mm      56.716953*mm      56.567566*mm      54.592723*mm      54.443333*mm      59.851581*mm      48.602780*mm      62.186219*mm      50.493331*mm      56.716953*mm      56.567566*mm      54.592723*mm      54.443333*mm  | 2 1 1 8
sector2_superlayer2_layer1_paddle5 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      74.745906*mm      28.805413*mm      93.443138*mm      35.982608*mm      89.265953*mm      45.364720*mm      71.421367*mm      36.272450*mm      74.745906*mm      28.805413*mm      93.443138*mm      35.982608*mm      89.265953*mm      45.364720*mm      71.421367*mm      36.272450*mm  | 2 2 1 5
sector2_superlayer2_layer1_paddle6 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      71.325455*mm      36.460688*mm      89.170040*mm      45.552960*mm      84.035040*mm      54.447040*mm      67.238610*mm      43.539312*mm      71.325455*mm      36.460688*mm      89.170040*mm      45.552960*mm      84.035040*mm      54.447040*mm      67.238610*mm      43.539312*mm  | 2 2 1 6
sector2_superlayer2_layer1_paddle7 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      67.123547*mm      43.716493*mm      83.919977*mm      54.624223*mm      77.883422*mm      62.932827*mm      62.319172*mm      50.329147*mm      67.123547*mm      43.716493*mm      83.919977*mm      54.624223*mm      77.883422*mm      62.932827*mm      62.319172*mm      50.329147*mm  | 2 2 1 7
sector2_superlayer2_layer1_paddle8 | root|   0.0000*mm   0.0000*mm -126.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      62.186219*mm      50.493331*mm      77.750468*mm      63.097012*mm      70.878497*mm      70.729109*mm      56.716953*mm      56.567566*mm      62.186219*mm      50.493331*mm      77.750468*mm      63.097012*mm      70.878497*mm      70.729109*mm      56.716953*mm      56.567566*mm  | 2 2 1 8
sector2_superlayer2_layer2_paddle5 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      74.745906*mm      28.805413*mm      93.443138*mm      35.982608*mm      89.265953*mm      45.364720*mm      71.421367*mm      36.272450*mm      74.745906*mm      28.805413*mm      93.443138*mm      35.982608*mm      89.265953*mm      45.364720*mm      71.421367*mm      36.272450*mm  | 2 2 2 5
sector2_superlayer2_layer2_paddle6 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      71.325455*mm      36.460688*mm      89.170040*mm      45.552960*mm      84.035040*mm      54.447040*mm      67.238610*mm      43.539312*mm      71.325455*mm      36.460688*mm      89.170040*mm      45.552960*mm      84.035040*mm      54.447040*mm      67.238610*mm      43.539312*mm  | 2 2 2 6
sector2_superlayer2_layer2_paddle7 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      67.123547*mm      43.716493*mm      83.919977*mm      54.624223*mm      77.883422*mm      62.932827*mm      62.319172*mm      50.329147*mm      67.123547*mm      43.716493*mm      83.919977*mm      54.624223*mm      77.883422*mm      62.932827*mm      62.319172*mm      50.329147*mm  | 2 2 2 7
sector2_superlayer2_layer2_paddle8 | root|   0.0000*mm   0.0000*mm -98.0000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      62.186219*mm      50.493331*mm      77.750468*mm      63.097012*mm      70.878497*mm      70.729109*mm      56.716953*mm      56.567566*mm      62.186219*mm      50.493331*mm      77.750468*mm      63.097012*mm      70.878497*mm      70.729109*mm      56.716953*mm      56.567566*mm  | 2 2 2 8
