det1_tof_modular_eleside_box_XpYp_5_2  |                root  |det1_tof_modular_eleside_box_XpYp_5_2  |      773.4375*mm 351.5625*mm -2271.95828165786*mm  |-8.33366671590476*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_3  |                root  |det1_tof_modular_eleside_box_XpYp_5_3  |      773.4375*mm 492.1875*mm -2271.95828165786*mm  |-11.589421864565*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_2  |                root  |det1_tof_modular_eleside_box_XpYp_6_2  |      914.0625*mm 351.5625*mm -2219.11913742677*mm  |-8.33366671590476*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_3  |                root  |det1_tof_modular_eleside_box_XpYp_6_3  |      914.0625*mm 492.1875*mm -2219.11913742677*mm  |-11.589421864565*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_2  |                root  |det1_tof_modular_eleside_box_XpYp_7_2  |     1054.6875*mm 351.5625*mm -2155.83725669257*mm  |-8.33366671590476*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_3  |                root  |det1_tof_modular_eleside_box_XpYp_7_3  |     1054.6875*mm 492.1875*mm -2155.83725669257*mm  |-11.589421864565*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_8_2  |                root  |det1_tof_modular_eleside_box_XpYp_8_2  |      1195.3125*mm 351.5625*mm -2081.1602598896*mm  |-8.33366671590476*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_8_3  |                root  |det1_tof_modular_eleside_box_XpYp_8_3  |      1195.3125*mm 492.1875*mm -2081.1602598896*mm  |-11.589421864565*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_9_2  |                root  |det1_tof_modular_eleside_box_XpYp_9_2  |     1335.9375*mm 351.5625*mm -1993.80816431615*mm  |-8.33366671590476*deg --33.8237914634847*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_9_3  |                root  |det1_tof_modular_eleside_box_XpYp_9_3  |     1335.9375*mm 492.1875*mm -1993.80816431615*mm  |-11.589421864565*deg --33.8237914634847*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_4  |                root  |det1_tof_modular_eleside_box_XpYp_0_4  |       70.3125*mm 632.8125*mm -2398.96981063617*mm  |-14.7711009385092*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_5  |                root  |det1_tof_modular_eleside_box_XpYp_0_5  |       70.3125*mm 773.4375*mm -2398.96981063617*mm  |-17.8623469274365*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_4  |                root  |det1_tof_modular_eleside_box_XpYp_1_4  |      210.9375*mm 632.8125*mm -2390.71231458194*mm  |-14.7711009385092*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_5  |                root  |det1_tof_modular_eleside_box_XpYp_1_5  |      210.9375*mm 773.4375*mm -2390.71231458194*mm  |-17.8623469274365*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
