            prova1_5  |det1_rich_dual_ionside_box_5  |                      prova1_5  |                               0*cm 0*cm -38.34*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Cons  |10*cm 121.939393939394*cm 11*cm 122.094545454545*cm 0.16*cm -30*deg 60*deg  |             Air_Opt  |                  no  |     1   |     1   |     0   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 95 
            mirror_5  |det1_rich_dual_ionside_box_5  |              Spherical mirror  |                               145*cm 0*cm -210*cm  |        0*deg 30.0114214605092*deg 0*deg  | D8D8D8   |              Sphere  |               289.9*cm 290*cm -30*deg 60*deg 2.5*deg 40*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: spherical_mirror  |              mirror  |                                      no 
        det_mirror_5  |det1_rich_dual_ionside_box_5  |          det spherical mirror  |                               145*cm 0*cm -197*cm  |        0*deg 30.0114214605092*deg 0*deg  | fcc02d   |              Sphere  |                159.9*cm 160*cm -20*deg 40*deg 30*deg 24*deg  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 45 
   det_mirror_back_5  |det1_rich_dual_ionside_box_5  |         back spherical mirror  |                               145*cm 0*cm -197*cm  |        0*deg 30.0114214605092*deg 0*deg  | B18904   |              Sphere  |              159.8*cm 159.9*cm -20*deg 40*deg 30*deg 24*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                                      no 
det1_rich_dual_ionside_box_6  |                root  |  det1_rich_dual_ionside_box_6  |                                0*cm 0*cm 332.5*cm  |                     0*deg 0*deg 300*deg  | 008800   |                Cons  |            10*cm 220*cm 11*cm 220*cm 82.5*cm -30*deg 60*deg  |MAT_det1_rich_dual_ionside_gas  |                  no  |     1   |     1   |     1   |   1   |   0   |            eic_rich  |            eic_rich  |                            id manual 26 
det1_rich_dual_ionside_aeo_rad_6  |det1_rich_dual_ionside_box_6  |det1_rich_dual_ionside_aeo_rad_6  |                                0*cm 0*cm -80.5*cm  |                       0*deg 0*deg 0*deg  | 880000   |                Cons  |  10*cm 120*cm 11*cm 121.939393939394*cm 2*cm -30*deg 60*deg  |MAT_det1_rich_dual_ionside_aerogel  |                  no  |     1   |     1   |     1   |   1   |   0   |            eic_rich  |            eic_rich  |                            id manual 16 
det1_rich_dual_ionside_shield_6  |det1_rich_dual_ionside_box_6  |det1_rich_dual_ionside_shield_6  |                               0*cm 0*cm -78.34*cm  |                       0*deg 0*deg 0*deg  | 008880   |                Cons  |10*cm 121.939393939394*cm 11*cm 122.094545454545*cm 0.16*cm -30*deg 60*deg  |           acrylic_a  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 76 
             prova_6  |det1_rich_dual_ionside_box_6  |                       prova_6  |                                0*cm 0*cm 38.34*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Cons  |10*cm 121.939393939394*cm 11*cm 122.094545454545*cm 0.16*cm -30*deg 60*deg  |             Air_Opt  |                  no  |     1   |     1   |     0   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 86 
            prova1_6  |det1_rich_dual_ionside_box_6  |                      prova1_6  |                               0*cm 0*cm -38.34*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Cons  |10*cm 121.939393939394*cm 11*cm 122.094545454545*cm 0.16*cm -30*deg 60*deg  |             Air_Opt  |                  no  |     1   |     1   |     0   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 96 
            mirror_6  |det1_rich_dual_ionside_box_6  |              Spherical mirror  |                               145*cm 0*cm -210*cm  |        0*deg 30.0114214605092*deg 0*deg  | D8D8D8   |              Sphere  |               289.9*cm 290*cm -30*deg 60*deg 2.5*deg 40*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |mirror: spherical_mirror  |              mirror  |                                      no 
        det_mirror_6  |det1_rich_dual_ionside_box_6  |          det spherical mirror  |                               145*cm 0*cm -197*cm  |        0*deg 30.0114214605092*deg 0*deg  | fcc02d   |              Sphere  |                159.9*cm 160*cm -20*deg 40*deg 30*deg 24*deg  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                            id manual 46 
   det_mirror_back_6  |det1_rich_dual_ionside_box_6  |         back spherical mirror  |                               145*cm 0*cm -197*cm  |        0*deg 30.0114214605092*deg 0*deg  | B18904   |              Sphere  |              159.8*cm 159.9*cm -20*deg 40*deg 30*deg 24*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |            eic_rich  |            eic_rich  |                                      no 
