det1_beamline_magnet_ele_downstream_quadrupole1_outer  |                root  |det1_beamline_magnet_ele_downstream_quadrupole1_outer  |                                    0*m 0*m -1.8*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                               0*cm 5*cm 0.2*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole2_outer  |                root  |det1_beamline_magnet_ele_downstream_quadrupole2_outer  |                                   0*m 0*m -2.65*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                              0*cm 8*cm 0.35*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole3_outer  |                root  |det1_beamline_magnet_ele_downstream_quadrupole3_outer  |                                    0*m 0*m -3.9*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                               0*cm 8*cm 0.3*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole4_outer  |                root  |det1_beamline_magnet_ele_downstream_quadrupole4_outer  |                                    0*m 0*m -4.6*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                              0*cm 11*cm 0.2*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole5_outer  |                root  |det1_beamline_magnet_ele_downstream_quadrupole5_outer  |                            0*m 0*m -36.12891185*m  |                      0*rad -0*rad 0*rad  | aa00ff   |                Tube  |                            0*cm 11*cm 0.325*m 0*deg 360*deg  |          Kryptonite  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole1_inner  |det1_beamline_magnet_ele_upstream_quadrupole1_outer  |det1_beamline_magnet_ele_upstream_quadrupole1_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                              0*cm 3*cm 0.35*m 0*deg 360*deg  |              Vacuum  |det1_ele_upstream_quadrupole1_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole2_inner  |det1_beamline_magnet_ele_upstream_quadrupole2_outer  |det1_beamline_magnet_ele_upstream_quadrupole2_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                              0*cm 5*cm 0.35*m 0*deg 360*deg  |              Vacuum  |det1_ele_upstream_quadrupole2_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_upstream_quadrupole3_inner  |det1_beamline_magnet_ele_upstream_quadrupole3_outer  |det1_beamline_magnet_ele_upstream_quadrupole3_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                              0*cm 5*cm 0.25*m 0*deg 360*deg  |              Vacuum  |det1_ele_upstream_quadrupole3_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole1_inner  |det1_beamline_magnet_ele_downstream_quadrupole1_outer  |det1_beamline_magnet_ele_downstream_quadrupole1_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 2.5*cm 0.2*m 0*deg 360*deg  |              Vacuum  |det1_ele_downstream_quadrupole1_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole2_inner  |det1_beamline_magnet_ele_downstream_quadrupole2_outer  |det1_beamline_magnet_ele_downstream_quadrupole2_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                            0*cm 3.6*cm 0.35*m 0*deg 360*deg  |              Vacuum  |det1_ele_downstream_quadrupole2_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
det1_beamline_magnet_ele_downstream_quadrupole3_inner  |det1_beamline_magnet_ele_downstream_quadrupole3_outer  |det1_beamline_magnet_ele_downstream_quadrupole3_inner  |                                       0*m 0*m 0*m  |                       0*rad 0*rad 0*rad  | CDE6FA   |                Tube  |                             0*cm 5.5*cm 0.3*m 0*deg 360*deg  |              Vacuum  |det1_ele_downstream_quadrupole3_simple  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
